Date,Open,High,Low,Close,Adj Close,Volume
5/7/15,2.32,2.32,2.26,2.32,2.32,15015600
5/8/15,2.33,2.36,2.3,2.31,2.31,9758800
5/11/15,2.31,2.35,2.31,2.32,2.32,10046900
5/12/15,2.32,2.35,2.3,2.35,2.35,10017500
5/13/15,2.36,2.38,2.35,2.37,2.37,7575900
5/14/15,2.38,2.39,2.33,2.33,2.33,8865100
5/15/15,2.33,2.38,2.32,2.32,2.32,8054800
5/18/15,2.35,2.36,2.33,2.35,2.35,4732800
5/19/15,2.36,2.37,2.28,2.28,2.28,9588400
5/20/15,2.3,2.33,2.28,2.32,2.32,6947700
5/21/15,2.31,2.35,2.28,2.28,2.28,7127700
5/22/15,2.3,2.31,2.27,2.28,2.28,12845400
5/26/15,2.27,2.28,2.22,2.22,2.22,10007800
5/27/15,2.24,2.28,2.2,2.28,2.28,17511000
5/28/15,2.28,2.33,2.27,2.27,2.27,12354600
5/29/15,2.27,2.32,2.25,2.28,2.28,7750500
6/1/15,2.29,2.3,2.25,2.25,2.25,6803700
6/2/15,2.26,2.3,2.25,2.3,2.3,7106000
6/3/15,2.3,2.32,2.28,2.28,2.28,8062300
6/4/15,2.28,2.33,2.26,2.33,2.33,11575800
6/5/15,2.31,2.34,2.29,2.33,2.33,7349700
6/8/15,2.31,2.33,2.29,2.31,2.31,6212900
6/9/15,2.35,2.36,2.28,2.29,2.29,12282700
6/10/15,2.31,2.35,2.3,2.32,2.32,8161200
6/11/15,2.34,2.35,2.31,2.32,2.32,7671000
6/12/15,2.31,2.33,2.3,2.31,2.31,4557600
6/15/15,2.32,2.35,2.29,2.32,2.32,8627800
6/16/15,2.32,2.37,2.32,2.35,2.35,9795000
6/17/15,2.37,2.54,2.35,2.47,2.47,27497900
6/18/15,2.5,2.59,2.48,2.52,2.52,25400200
6/19/15,2.53,2.59,2.46,2.58,2.58,25551700
6/22/15,2.61,2.67,2.58,2.62,2.62,19410100
6/23/15,2.62,2.64,2.55,2.61,2.61,17919600
6/24/15,2.6,2.66,2.57,2.62,2.62,17516700
6/25/15,2.62,2.66,2.57,2.58,2.58,18360200
6/26/15,2.54,2.55,2.37,2.47,2.47,97054200
6/29/15,2.41,2.42,2.31,2.34,2.34,22971500
6/30/15,2.43,2.43,2.35,2.4,2.4,19381300
7/1/15,2.47,2.48,2.36,2.42,2.42,19375000
7/2/15,2.43,2.63,2.39,2.53,2.53,31185900
7/6/15,2.46,2.54,2.44,2.47,2.47,20349400
7/7/15,2.04,2.14,2.02,2.09,2.09,46418700
7/8/15,2.07,2.07,2.01,2.01,2.01,15302900
7/9/15,2.04,2.06,1.93,1.98,1.98,23378200
7/10/15,2,2.03,1.95,1.96,1.96,17520800
7/13/15,1.97,1.99,1.95,1.96,1.96,9080900
7/14/15,2.03,2.06,1.97,2.05,2.05,15812300
7/15/15,2.07,2.09,1.95,1.96,1.96,13517800
7/16/15,1.97,2,1.87,1.87,1.87,20653300
7/17/15,1.87,1.9,1.74,1.79,1.79,28127100
7/20/15,1.82,1.84,1.77,1.8,1.8,12142400
7/21/15,1.82,1.83,1.78,1.8,1.8,15034500
7/22/15,1.8,1.81,1.76,1.79,1.79,16043400
7/23/15,1.8,1.81,1.75,1.76,1.76,10641900
7/24/15,1.76,1.77,1.65,1.67,1.67,16478400
7/27/15,1.67,1.7,1.61,1.62,1.62,11916500
7/28/15,1.62,1.77,1.62,1.77,1.77,14614600
7/29/15,1.77,1.99,1.76,1.96,1.96,25582200
7/30/15,1.94,1.99,1.88,1.93,1.93,15837400
7/31/15,1.94,1.99,1.92,1.93,1.93,7733700
8/3/15,1.93,2.2,1.9,2.2,2.2,26218200
8/4/15,2.18,2.18,2.05,2.13,2.13,14328400
8/5/15,2.11,2.21,2.1,2.16,2.16,13236000
8/6/15,2.15,2.17,2.1,2.11,2.11,9475000
8/7/15,2.1,2.14,2.06,2.09,2.09,7680800
8/10/15,1.92,1.98,1.82,1.93,1.93,29926200
8/11/15,1.91,1.93,1.88,1.9,1.9,7479200
8/12/15,1.88,1.93,1.84,1.9,1.9,8521200
8/13/15,1.9,1.91,1.79,1.79,1.79,7839700
8/14/15,1.8,1.85,1.79,1.84,1.84,6183400
8/17/15,1.82,1.88,1.8,1.8,1.8,9062400
8/18/15,1.79,1.82,1.75,1.8,1.8,9751900
8/19/15,1.8,1.81,1.76,1.8,1.8,7441200
8/20/15,1.79,1.8,1.7,1.7,1.7,13745700
8/21/15,1.68,1.8,1.68,1.78,1.78,12529500
8/24/15,1.69,1.83,1.65,1.75,1.75,17217400
8/25/15,1.82,1.82,1.66,1.66,1.66,12097700
8/26/15,1.69,1.73,1.66,1.72,1.72,10715300
8/27/15,1.74,1.84,1.74,1.78,1.78,11839300
8/28/15,1.75,1.87,1.75,1.85,1.85,10924600
8/31/15,1.82,1.87,1.79,1.81,1.81,6516000
9/1/15,1.77,1.82,1.71,1.71,1.71,8470700
9/2/15,1.75,1.77,1.72,1.77,1.77,6306100
9/3/15,1.76,1.85,1.76,1.79,1.79,7154200
9/4/15,1.76,1.84,1.76,1.82,1.82,6725300
9/8/15,1.85,1.88,1.83,1.88,1.88,6009500
9/9/15,1.9,1.97,1.83,1.85,1.85,12612300
9/10/15,1.84,1.88,1.83,1.84,1.84,4290400
9/11/15,1.88,2.14,1.81,2.01,2.01,31010300
9/14/15,2,2,1.81,1.82,1.82,16458500
